Normalized.Title,Normalized.Creator,Work.In.Norton,Checkouts
God Bless You Doctor Kevorkian,Kurt Vonnegut,False,866
How Aunt Lola Came To Stay,Julia Alvarez,False,862
Howl,Allen Ginsberg,True,849
The Abundance,Annie Dillard,False,847
The Braindead Megaphone,George Saunders,False,843
Both Flesh And Not,David Foster Wallace,False,843
Steering The Craft,Ursula K. Le Guin,False,843
Mother Night,Kurt Vonnegut,False,836
Against The Day,Thomas Pynchon,False,831
The Cemetery Of Untold Stories,Julia Alvarez,False,825
"Will You Please Be Quiet, Please?",Raymond Carver,False,825
Life On Mars,Tracy K. Smith,False,820
Nemesis,Philip Roth,False,820
The Dew Breaker,Edwidge Danticat,False,819
Clays Ark,Octavia E. Butler,False,817
Wake Up,Jack Kerouac,False,817
All Aunt Hagars Children,Edward P. Jones,False,815
Caramelo Or Puro Cuento,Sandra Cisneros,False,805
Drown,Junot Díaz,True,802
Rocannon'S World,Ursula K. Le Guin,False,802
The Good Luck Cat,Joy Harjo,False,792
Now Is The Time To Open Your Heart,Alice Walker,False,790
Mason And Dixon,Thomas Pynchon,False,787
Peeny Butter Fudge,Toni Morrison,False,784
Libra,Don Delillo,False,779
Ursula K. Le Guin,Ursula K. Le Guin,False,779
Exit Ghost,Philip Roth,False,774
Sabbaths Theater,Philip Roth,False,768
The Moon Lady,Amy Tan,False,750
The Birthday Of The World,Ursula K. Le Guin,False,747
Everything And More,David Foster Wallace,False,743
Saving The World,Julia Alvarez,False,738
Desolation Angels,Jack Kerouac,False,738
Thirst,Mary Oliver,True,737
The City Born Great,N. K. Jemisin,False,733
Red Bird,Mary Oliver,False,725
The Beginning Place,Ursula K. Le Guin,False,725
Conflict Resolution For Holy Beings,Joy Harjo,False,723
We Tell Ourselves Stories In Order To Live,Joan Didion,False,721
God Bless You Mister Rosewater,Kurt Vonnegut,False,718
Tell Me How Long The Trains Been Gone,James Baldwin,False,716
Pity The Reader,Kurt Vonnegut,False,713
V,Thomas Pynchon,False,713
Always Coming Home,Ursula K. Le Guin,False,709
Where Do We Go From Here,Martin Luther King Jr.,False,706
The Collected Stories Of Eudora Welty,Eudora Welty,False,703
A Streetcar Named Desire,Tennessee Williams,True,699
Nobody Knows My Name,James Baldwin,False,698
Notes To John,Joan Didion,False,698
Ordinary Light,Tracy K. Smith,False,696
The Awakened Kingdom,N. K. Jemisin,False,693
Doctor Bloodmoney,Philip K. Dick,False,687
The Toughest Indian In The World,Sherman Alexie,False,682
The Dream Of A Common Language,Adrienne Rich,False,674
A Poetry Handbook,Mary Oliver,False,672
Armageddon In Retrospect,Kurt Vonnegut,False,667
The Trouble With Poetry,Billy Collins,False,667
Vineland,Thomas Pynchon,False,665
Four Novels Of The 1960s,Philip K. Dick,False,663
The Salt Eaters,Toni Cade Bambara,False,661
James Baldwin,James Baldwin,False,661
Hocus Pocus,Kurt Vonnegut,False,654
For The Time Being,Annie Dillard,False,651
The Wave In The Mind,Ursula K. Le Guin,False,649
Patternmaster,Octavia E. Butler,False,645
Cat Dreams,Ursula K. Le Guin,False,645
The Silence,Don Delillo,False,642
Caramelo,Sandra Cisneros,False,636
